summoner_id,champion_id,mastery_points
iYn5IZtuZpQd1rQy8AZy1h5zZ5lMWA8U_MA2dwdV9gM,254,92166
o66ub_FgySM7n6b4JDUeC7WaU6jpJeSRVCXw4FkO3tHxIp8,350,34560
akylMRM5Nfifw-qnpzxPUIaotk7YfE9UVT0_kIm7AEGR70Y,432,218171
Prq-zu8dyHE9PrSM8HvBZlyQ2VW0VuCNIdyf8JM1owan7vbJ8C_f8XJT,22,25872
Tu4ST32ySF5Lhh9rPNhucAbm-8FIqKc_Ob7IquiqFWGKUHBk6XQ6Hu31,31,2833
H5hOwD-kMVKGHZSq3O5F-uMgj9Vrhi6eYweIcsjuEYxn4fE,91,587474
xASeOrHlb8tIzwOupS449iNBMGdXBlF64wGjrNVMtmQPlto,40,47766
cI55OVESnyzQVvd8VjPiffj4hLhksCYyfSZ2iQ6pKd6psTc,8,21181
aDfDCFwXMja5AcwSUo9jkgUhPgvqgBVM-n8_ZZQGZ64LJQ,412,53169
jVAG3wQ0TRFB2Lhw_rleZgpR30MhxIiWmJwrExgZY0LRqRE,22,3276
DULNpsRCqYFaZnU2QFKMXOMegmxOz_OmfS_SO36uUwjuy9c,145,115563
iFJs8Eoq_hWW4lIEvoIhI2T4mGyJlIe93gjnUuGiWP2FrQQeFuZcv8Yy,555,64019
o66ub_FgySM7n6b4JDUeC7WaU6jpJeSRVCXw4FkO3tHxIp8,40,3332
5k0aghcnOhW_iW136Q4G9jbhl8Afh1mikJwMwYoAtv4wfA,86,5106
06yrzqL6sVBaDvaKl_lvPV1KtpuGRYQbswxyUVtI614SkQ,22,37271
P28Dqnl0TT3K8HkEnlNcz01-hDf4RCjD9ivFq35QzYUmYBA,89,51144
RKh9BO0MEUA7FZmJnOFGN3xUGzTetATRbdPqk7Cqatg1GRE,22,5785
vGbrDBGWMKALcnsmhNX-bJzWiunMPMkhWB8ESTPYhiEuIRw,24,71291
qdOMKKt6h1RZIUWvsV5BOIAWWyF7wYj7FppBioplW6nbvw,41,156613
iLkyWXaNrXKoQzLtsR978U-Kahi160cPf6rMgWxXeZEhAYXp9yqDB8RE,164,29880
3gM0VHuYunZBQAWpLcr0bbus-YCo0u2jYIJFd7aSyr41ZHw,145,43623
ZiE1M8sn2IB13BoJWsxVLIIULGu1bvF1ycfbScBUfAJWbqA,222,36204
VhQcIDHNHBDsEw7AENNPog-S38tObeKIa4Wtt9d9_Vjq8g,245,17336
103y_BzYZK0qu1o3hJLdkDkOCc2LtrDm_-xRgnFYwZAW5zY,497,108777
RyM5SlStk2BOL7faWcr6WHWCbyI5KSa92xlNSMxY5hPFVeM,518,249151
Xv0ICH_Of30RtuqW10dT-bYi9YgU4JTc7IVdFwF9l_YH8w,126,33636
avHHHK9OfTJjK1RD9qbsq_RbYXMXyehnO5BhnEAKLGyWO1lji6ihW250,246,6486
06yrzqL6sVBaDvaKl_lvPV1KtpuGRYQbswxyUVtI614SkQ,136,24724
zS2eqH1lUb8v_9Tpw2QQO0ZXhHR6rHyuA9_0BTpWe4Rtrw,26,6464
Cm6izwgv2Eis-Diic5AlGhHq2nhhRiDlV_6367S8lq4dljNzMjaeiKvJ,38,921
2qFCmycL76xDUEgnVE8ImMr90Ee4DewgG5qFiAIruF-iRmI,112,18669
mtH1wqn_fg1gmziDVFn1Jbhsz326IXvhlju3Awry6GA,412,280275
