top_vs,top_mastery,side,first_brick,first_blood,first_dragon,first_herald,first_baron,first_inhib,num_towers,num_dragons,num_barons,num_inhibs,result,jungle_vs,jungle_mastery,mid_vs,mid_mastery,adc_vs,adc_mastery,sup_vs,sup_mastery
12,43623.0,blue ,False,False,True,False,False,False,1,1,0,0,False,9,997175.0,9,24724.0,9,2586693.0,39,16875.0
16,85639.0,red  ,True,True,True,False,True,True,8,2,1,1,True,22,44467.0,28,587474.0,27,392974.0,44,796354.0
23,5636.0,red  ,False,False,True,True,True,True,9,2,1,2,True,34,21784.0,21,921.0,20,57885.0,34,1799887.0
18,623969.0,red  ,True,True,False,False,True,True,10,2,1,2,True,18,77720.0,32,508105.0,19,66812.0,63,812987.0
24,918.0,red  ,True,True,True,True,False,True,8,2,0,1,True,22,13507.0,21,422761.0,31,2262852.0,46,319707.0
34,464542.0,red  ,False,True,False,False,True,True,8,3,2,2,True,31,434457.0,28,85756.0,56,1184278.0,88,73638.0
21,3980.0,blue ,False,False,False,True,False,False,2,2,0,0,False,26,428665.0,18,1211243.0,43,139402.0,76,217931.0
20,2007.0,red  ,False,False,True,False,True,True,9,4,1,2,True,20,5069.0,37,2868.0,31,105201.0,82,277982.0
17,41335.0,red  ,False,False,False,False,False,False,3,1,0,0,False,33,44974.0,11,1080982.0,14,176027.0,74,128871.0
25,38914.0,red  ,True,False,True,True,True,True,9,4,1,5,False,62,27511.0,31,46429.0,37,30358.0,99,1241.0
18,47271.0,red  ,True,True,False,True,True,True,10,1,1,2,True,36,1081319.0,28,544188.0,17,33887.0,52,170582.0
10,54131.0,blue ,False,True,False,False,False,False,0,0,0,0,False,10,5758.0,17,25181.0,8,319806.0,31,7620.0
9,54131.0,blue ,False,False,True,True,False,False,3,1,0,0,False,21,57446.0,13,545476.0,14,1001988.0,33,8145.0
13,19028.0,blue ,False,False,True,False,False,False,2,2,0,0,False,23,14756.0,14,43250.0,16,668692.0,34,289241.0
64,20649.0,blue ,False,True,True,False,False,False,4,2,0,0,False,41,29058.0,46,5120.0,18,85752.0,46,223360.0
12,6355.0,red  ,False,True,True,False,False,False,3,3,0,0,False,29,100886.0,23,201713.0,19,68207.0,62,1890211.0
22,132984.0,red  ,False,False,False,False,True,False,7,2,1,0,False,61,1081319.0,26,3949.0,36,101355.0,77,42857.0
19,176943.0,blue ,False,False,False,True,False,False,2,1,0,0,False,37,137082.0,24,5229.0,35,305776.0,81,25213.0
15,131840.0,blue ,False,True,False,False,False,False,1,0,0,0,False,12,33741.0,19,47843.0,19,86363.0,31,283854.0
19,114931.0,blue ,False,True,False,False,False,False,6,1,1,1,True,35,647442.0,29,3469022.0,21,552147.0,59,20652.0
35,45976.0,red  ,False,False,True,True,False,False,7,2,0,0,False,35,309191.0,35,9286.0,12,87115.0,76,392959.0
12,62338.0,blue ,False,True,False,False,False,False,0,0,0,0,False,25,260501.0,11,808440.0,5,326184.0,34,728435.0
